City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,taoudenni,22.6783,-3.9836,20.23,13,100,3.61,ML,1704928141
83,zakynthos,37.7914,20.8953,8.69,62,100,2.32,GR,1704928141
84,usogorsk,63.4106,48.6872,-16.3,97,100,2.51,RU,1704928141
85,khamis mushait,18.3064,42.7292,10.58,81,0,0.0,SA,1704928142
86,atafu village,-8.5421,-172.5159,29.27,71,11,4.26,TK,1704928142
87,ribeira grande,38.5167,-28.7,17.1,88,100,12.52,PT,1704928142
88,murzuq,25.9155,13.9184,10.54,24,60,3.07,LY,1704928142
89,fale old settlement,-9.3852,-171.2468,29.26,70,90,4.25,TK,1704928142
90,margaret river,-33.95,115.0667,14.93,77,98,4.15,AU,1704928142
91,colonia,50.9333,6.95,-2.3,78,0,3.09,DE,1704927933
92,yurty,56.0498,97.6348,-21.35,90,66,5.44,RU,1704928142
93,khanu woralaksaburi,16.0617,99.8606,24.89,63,16,2.47,TH,1704928143
94,paracuru,-3.41,-39.0306,28.39,76,75,4.63,BR,1704928143
95,iskateley,67.6803,53.1512,-20.55,95,100,5.81,RU,1704928143
96,lamu,-2.2717,40.902,25.92,84,83,5.29,KE,1704928143
97,luderitz,-26.6481,15.1594,16.86,88,22,6.65,NA,1704928143
98,olonkinbyen,70.9221,-8.7187,1.34,90,100,10.64,SJ,1704928143
99,wailua homesteads,22.0669,-159.378,22.44,76,100,3.09,US,1704928144
100,mil'kovo,55.6078,37.7956,-6.73,94,100,6.93,RU,1704928144
101,iqaluit,63.7506,-68.5145,-30.17,67,35,1.79,CA,1704928144
102,cabo san lucas,22.8909,-109.9124,22.09,49,75,4.12,MX,1704928144
103,daoukro,7.0591,-3.9631,26.85,68,81,2.16,CI,1704928144
104,yaren,-0.5472,166.916,28.98,76,70,3.89,NR,1704928144
105,port mathurin,-19.6833,63.4167,27.74,77,12,4.27,MU,1704928144
106,sijunjung,-0.6876,100.9537,22.84,98,100,0.19,ID,1704928145
107,st. john's,47.5649,-52.7093,-3.9,83,55,2.68,CA,1704927889
108,nova vicosa,-17.8919,-39.3719,24.65,83,89,3.77,BR,1704928145
109,alesund,62.4723,6.1549,5.97,90,100,3.09,NO,1704928076
110,kokpekty,48.75,82.4,-7.58,80,83,3.24,KZ,1704928145
111,salinas,36.6777,-121.6555,12.52,91,100,5.14,US,1704928145
112,tibanbang,6.6315,126.1055,25.94,83,57,2.08,PH,1704928145
113,nar'yan-mar,67.6713,53.087,-20.5,95,100,5.81,RU,1704928145
114,konakovo,56.7,36.7667,-5.49,95,100,5.32,RU,1704928146
115,shalqar,47.8333,59.6,-10.04,94,100,2.02,KZ,1704928146
116,isafjordur,66.0755,-23.124,4.6,87,73,4.93,IS,1704928146
117,manadhoo,5.7667,73.3833,27.54,79,100,8.68,MV,1704928146
